  Language_ISO639;sk
 MebiByte3; MebiBytov
 MegaBit1; MegaBit
 MegaBit2; MegaBitov
 MegaBit3; MegaBitov
 MegaByte1; MegaByte
 MegaByte2; MegaBytov
 MegaByte3; MegaBytov
 MHz; MHz
 MiB; MiB
 Mib; Mib
 MiBps; MiB/s
 millisecond1; milisekunda
 millisecond2; milisekundy
 millisecond3; milisekúnd
 minute1; minúta
 minute2; minúty
 minute3; minút
 month1; mesiac
 month2; mesiace
 month3; mesiacov
 object1;
 object2;
 object3;
 pixel1; pixel
 pixel2; pixelov
 pixel3; pixelov
 second1; sekunda
 second2; sekúndy
 second3; sekúnd
 text stream1; text stream
 text stream2; text streams
 text stream3; text streams
 video frames1;
 video frames2;
 video frames3;
 video stream1; video stream
 video stream2; video streams
 video stream3; video streams
 warppoint0;
 warppoint1;
 warppoint2;
 warppoint3;
 week1; týždeň
 week2; týždne
 week3; týždňo
 year1; rok
 year2; roky
 year3; rokov
, ;, 
: ;: 
3D;
3DType;
5.1.2ch;
5.1.4ch;
5.1ch;
608_Mode;
7.1.2ch;
7.1ch;
About;O programe
About_Hint;O programe
Accompaniment;Accompaniment
ActiveFormatDescription;
ActiveFormatDescription_MuxingMode;
Actor;Herec
Actor_Character;Character played
Add creation date to text output;
Add version to text output;
Added_Date;Dátum pridania
Address;Adresa
AdID;
ADM: Show ChannelFormats;
ADM: Show TrackUIDs;
AdmProfile;
Advanced;Pokročilé
Advanced mode;Viac detailov
Album;Album
Album_ReplayGain_Gain;
Album_ReplayGain_Peak;
Alignment;
Alignment_Aligned;
Alignment_Split;
All;Všetko
AlternateGroup;
Archival_Location;Archival location
Arranger;Arranger
ArtDirector;ArtDirector
AspectRatio;Pomer strán
AssistantDirector;AssistantDirector
AssociatedVideo_FrameRate;
at;pri
At least one file;(Musíš najprv otvoriť súbor)
Audio;Audio
Audio stream(s);Audio streamy
Audio_Codec_List;Audio kodeky
Audio_No;Bez audia
Audio1;Prvý audio stream
Audio2;Druhý audio stream
AudioComments;
AudioCount;Počet audio streamov
AudioDescription;
AudioDescriptionPresent;
AudioDescriptionType;
AudioLoudnessStandard;
AudioRenderingIndication;
AudioSceneInfoID;
AudioTrackLayout;
Author;Autor
Back4ToBack2;
Balance_FrontBackListener;
Balance_FrontBackOverheadFloor;
BarCode;BarCode
Basic;Základné
Basic_Note;Info : Pre viac detailov vyberte iný režim zobrazenia (List, Strom...)
BedChannelConfiguration;
BedChannelCount;
BinauralRenderMode;
BitDepth;
BitDepth_Detected;
BitDepth_Stored;
BitRate;Dátový tok
BitRate_Encoded;
BitRate_Maximum;Maximálny dátový tok
BitRate_Minimum;Minimálny dátový tok
BitRate_Mode;Režim dátového toku
BitRate_Mode_CBR;Konštantný dátový tok
BitRate_Mode_VBR;Variabilný dátový tok
BitRate_Nominal;
Bits-(Pixel*Frame);Bitov/(Bod*Snímka)
BufferSize;
Cancel;Zrušiť
CaptionServiceName;
CatalogNumber;
Channel(s);Kanál(y)
ChannelCoded;
ChannelConfiguration;
ChannelFormat;
ChannelLayout;
ChannelMode;
ChannelPositions;Channel positions
Chapter(s);Kapitola(y)
Chapters;Kapitoly
Chapters stream(s);Chapters stream(s)
Chapters_Codec_List;Chapters Codecs
Chapters_No;No chapters
ChaptersCount;Count of chapter streams
CharacterSet;
CheckNewVersion;Skontrolovať novú verziu
Choose custom;Výber užívateľa
Choose custom sheet;Vyberte požadovaný formát zobrazení
Choose custom text;Vyberte vlastné nastavenie textu
Choose export format;Vyberte požadovaný exportný formát
Choose file(s);Vyberte súbor pre otvorenie
Choose filename;Vyberte požadovaný názov súboru
Choose language;Vybrať jazyk
Choreographer;Choreograf
Chroma;Chroma
ChromaSubsampling;
Classifier;
ClearList;
Close;Zatvoriť
Close all before open;Zatvoriť všetko pred otvorením nového
ClosedCaptionsLanguage;
ClosedCaptionsPresent;
ClosedCaptionsType;
Codec;Kodek
Codec_Description;Popis kodeku
Codec_Info;Detaily kodeku
Codec_Profile;Profil kodeku
Codec_Settings;Nastavenia kodeku
Codec_Settings_BVOP;
Codec_Settings_CABAC;
Codec_Settings_Endianness;
Codec_Settings_Firm;
Codec_Settings_Floor;
Codec_Settings_GMC;
Codec_Settings_ITU;
Codec_Settings_Law;
Codec_Settings_Matrix;
Codec_Settings_PacketBitStream;
Codec_Settings_QPel;
Codec_Settings_Sign;
Codec_Url;Adresa pre stiahnutie kodeku
CodecConfigurationBox;
CodecID;Označenie kodeku
CodecID_Description;Popis kodeku
CoDirector;
Collection;Collection
Colorimetry;
ColorSpace;
colour_primaries;
colour_range;
Comment;Komentár
CommissionedBy;Commissioned by
Compilation;
ComplementaryObject;
CompleteName;Celý názov a cesta
CompletionDate;
ComplexityIndex;
Composer;Skladateľ
Compression_Mode;
Compression_Mode_Lossless;
Compression_Mode_Lossy;
Compression_Ratio;
Conductor;Conductor
ConformanceCheck;
ConformanceErrors;
ConformanceInfos;
ConformanceWarnings;
ContactEmail;
ContactTelephoneNumber;
Container and general information;Hlavné informácie
Content;
ContentType;Typ obsahu
CoProducer;sPoluproducent
Copyright;Autorské práva
CopyrightYear;
CostumeDesigner;Costume designer
Count;Count
Country;Krajina
Cover;Obal
Cover_Datas;Údaje obalu
Cover_Description;Popis obalu
Cover_Mime;
Cover_Type;Typ obalu
Cropped;
Custom;Vlastné
CustomDownmixTargets;
Customize;Prispôsobiť
DarkMode;
Date;Dátum
Debug;Pokročilé
Decimal point;Decimal point
Default;
Default_Setting;
DefaultTargetDeviceConfig;
Delay;Delay
Delay_Source;
Delay_Source_Container;
Delay_Source_Stream;
Delete;Odstrániť
Description;Popis
Details;
dialnorm;
DialogueCorrected;
DialogueEnhancement;
DialogueNormalization;
Digitized_Date;Digitized date
Dimensions;
Director;Director
DirectorOfPhotography;Director of photography
Disabled;
DisplayAspectRatio;Pomer strán
DisplayAspectRatio_CleanAperture;
DisplayAspectRatio_Original;Pôvodný pomer strán pre zobrazenie
DistributedBy;Distribútor
Distributor;
Dolby_Atmos_Metadata;
DolbyAtmos;
Donate;Zaslat finančný dar
DotsPerInch;Bodov na palec
Downmix;
Downmix_5.1.x;
Downmix_5to2;
Downmix_5to2_90deg;
DrcSets_Count;
DrcSets_Effects;
Duration;Trvanie
Duration_End;
Duration_End_Command;
Duration_Start;
Duration_Start_Command;
Duration_Start2End;
DynamicObject;
DynamicRangeControl;
Eac3DrcProfile;
Edit;Upraviť
EditedBy;Upravil
EditorialClassification;
ElementaryStream;
ElementCount;
EMail;E-Mail
Encoded_Application;Použitý software
Encoded_Date;Dátum zakódovania
Encoded_Library;Zakódoval
Encoded_Library_Settings;Nastavenie kodéru
Encoded_Original;Originál
EncodedBy;Zakódoval
EPG_Positions;
EpisodeTitleNumber;
Error_File;Zlyhalo načítavanie súboru
Error_File_Write;
Events_MinDuration;
Events_PaintOn;
Events_PopOn;
Events_RollUp;
Events_Total;
ExecutiveProducer;Executive producer
Exit;Koniec
Exit_Hint;Ukončiť program
Export;Exportovať
Export_Hint;Exportovať do vybraného formátu
Extensions;Všeobecne používaná koncovka
External_Media_NotMounted;
Family;
Fax;Fax
File;Súbor
File size;Veľkosť súboru
File_Append;Pripojiť k existujúcemu súboru (Upozornenie : buďte si istý rovnakými parametrami)
File_Created_Date;Dátum vytvorenia súboru
File_Created_Date_Local;Dátum (miestny) vytvorenia súboru
File_Hint;Otvoriť súbor
File_Modified_Date;Dátum poslednej úpravy súboru
File_Modified_Date_Local;Dátum (miestny) poslednej úpravy súboru
FileExtension;Prípona súboru
FileName;Názov súboru
FileNameExtension;
FileSize;Veľkosť súboru
FirstDisplay_Delay_Frames;
FirstDisplay_Type;
FirstFrameOfAction;
FlatPanelTv;
FlowID;
Folder;Adresár
Folder (R);Adresár (R)
Folder (R)_Hint;Select a folder to study (with all folders recursively)
Folder (Recursively);Adresár (Recursively)
Folder_Hint;Otvoriť všetko v adresári
FolderName;Názov adresára
Forced;
Format;Formát
Format_Commercial;
Format_Commercial_IfAny;
Format_Compression;
Format_Description;Popis formátu
Format_Info;Informácie o formáte
Format_Level;
Format_Profile;Profil formátu
Format_Settings;Nastavenia formátu
Format_Settings_BVOP;
Format_Settings_CABAC;
Format_Settings_Emphasis;
Format_Settings_Endianness;
Format_Settings_Firm;
Format_Settings_Floor;
Format_Settings_FrameMode;
Format_Settings_GMC;
Format_Settings_GOP;
Format_Settings_ITU;
Format_Settings_Law;
Format_Settings_Matrix;
Format_Settings_Matrix_Custom;Vlastné
Format_Settings_Matrix_Default;Pôvodné
Format_Settings_Mode;Režim
Format_Settings_ModeExtension;
Format_Settings_PacketBitStream;
Format_Settings_PictureStructure;
Format_Settings_PS;
Format_Settings_Pulldown;
Format_Settings_QPel;
Format_Settings_RefFrames;
Format_Settings_SBR;
Format_Settings_Sign;
Format_Settings_Wrapping;
Format_Tier;
Format_Url;
Format_Version;
FormatDefinition;
FpaManufacturer;
FpaPass;
FpaVersion;
FrameCount;
FrameRate;Frekvencia snímok
FrameRate_MaxFrameNumber;
FrameRate_Maximum;Maximálna frekvencia snímok
FrameRate_Minimum;Minimálna frekvencia snímok
FrameRate_Mode;Režim frekvencie snímok
FrameRate_Mode_CFR;Konštantný
FrameRate_Mode_VFR;Variabilný
FrameRate_Nominal;Nominálna frekvencia snímok
FrameRate_Original;Pôvodná frekvencia snímok
FrameRate_Real;
FullParsing;
General;Hlavné parametre
GeneralCompliance;
Genre;žáner
Genre_000;Blues
Genre_001;Classic Rock
Genre_002;Country
Genre_003;Dance
Genre_004;Disco
Genre_005;Funk
Genre_006;Grunge
Genre_007;Hip-Hop
Genre_008;Jazz
Genre_009;Metal
Genre_010;New Age
Genre_011;Oldies
Genre_012;Iné
Genre_013;Pop
Genre_014;R&B
Genre_015;Rap
Genre_016;Reggae
Genre_017;Rock
Genre_018;Techno
Genre_019;Industrial
Genre_020;Alternative
Genre_021;Ska
Genre_022;Death Metal
Genre_023;Pranks
Genre_024;Soundtrack
Genre_025;Euro-Techno
Genre_026;Ambient
Genre_027;Trip-Hop
Genre_028;Vocal
Genre_029;Jazz+Funk
Genre_030;Fusion
Genre_031;Trance
Genre_032;Classical
Genre_033;Instrumental
Genre_034;Acid
Genre_035;House
Genre_036;Game
Genre_037;Sound Clip
Genre_038;Gospel
Genre_039;Noise
Genre_040;AlternRock
Genre_041;Bass
Genre_042;Soul
Genre_043;Punk
Genre_044;Space
Genre_045;Meditative
Genre_046;Instrumental Pop
Genre_047;Instrumental Rock
Genre_048;Ethnic
Genre_049;Gothic
Genre_050;Darkwave
Genre_051;Techno-Industrial
Genre_052;Electronic
Genre_053;Pop-Folk
Genre_054;Eurodance
Genre_055;Dream
Genre_056;Southern Rock
Genre_057;Comedy
Genre_058;Cult
Genre_059;Gangsta
Genre_060;Top 40
Genre_061;Christian Rap
Genre_062;Pop/Funk
Genre_063;Jungle
Genre_064;Native American
Genre_065;Cabaret
Genre_066;New Wave
Genre_067;Psychadelic
Genre_068;Rave
Genre_069;Showtunes
Genre_070;Trailer
Genre_071;Lo-Fi
Genre_072;Tribal
Genre_073;Acid Punk
Genre_074;Acid Jazz
Genre_075;Polka
Genre_076;Retro
Genre_077;Musical
Genre_078;Rock & Roll
Genre_079;Hard Rock
Genre_080;Folk
Genre_081;Folk-Rock
Genre_082;National Folk
Genre_083;Swing
Genre_084;Fast Fusion
Genre_085;Bebob
Genre_086;Latin
Genre_087;Revival
Genre_088;Celtic
Genre_089;Bluegrass
Genre_090;Avantgarde
Genre_091;Gothic Rock
Genre_092;Progressive Rock
Genre_093;Psychedelic Rock
Genre_094;Symphonic Rock
Genre_095;Slow Rock
Genre_096;Big Band
Genre_097;Chorus
Genre_098;Easy Listening
Genre_099;Acoustic
Genre_100;Humour
Genre_101;Speech
Genre_102;Chanson
Genre_103;Opera
Genre_104;Chamber Music
Genre_105;Sonata
Genre_106;Symphony
Genre_107;Booty Bass
Genre_108;Primus
Genre_109;Porn Groove
Genre_110;Satire
Genre_111;Slow Jam
Genre_112;Club
Genre_113;Tango
Genre_114;Samba
Genre_115;Folklore
Genre_116;Ballad
Genre_117;Power Ballad
Genre_118;Rhythmic Soul
Genre_119;Freestyle
Genre_120;Duet
Genre_121;Punk Rock
Genre_122;Drum Solo
Genre_123;A capella
Genre_124;Euro-House
Genre_125;Dance Hall
Genre_126;Goa
Genre_127;Drum & Bass
Genre_128;Club-House
Genre_129;Hardcore
Genre_130;Terror
Genre_131;Indie
Genre_132;Britpop
Genre_133;Negerpunk
Genre_134;Polsk Punk
Genre_135;Beat
Genre_136;Christian Gangsta Rap
Genre_137;Heavy Metal
Genre_138;Black Metal
Genre_139;Crossover
Genre_140;Contemporary Christian
Genre_141;Christian Rock
Genre_142;Merengue
Genre_143;Salsa
Genre_144;Trash Metal
Genre_145;Anime
Genre_146;JPop
Genre_147;Synthpop
Genre_148;
Genre_149;
Genre_150;
Genre_151;
Genre_152;
Genre_153;
Genre_154;
Genre_155;
Genre_156;
Genre_157;
Genre_158;
Genre_159;
Genre_160;
Genre_161;
Genre_162;
Genre_163;
Genre_164;
Genre_165;
Genre_166;
Genre_167;
Genre_168;
Genre_169;
Genre_170;
Genre_171;
Genre_172;
Genre_173;
Genre_174;
Genre_175;
Genre_176;
Genre_177;
Genre_178;
Genre_179;
Genre_180;
Genre_181;
Genre_182;
Genre_183;
Genre_184;
Genre_185;
Genre_186;
Genre_187;
Genre_188;
Genre_189;
Genre_190;
Genre_191;
Go to WebSite;Web programu
Gop_OpenClosed;
Gop_OpenClosed_Closed;
Gop_OpenClosed_FirstFrame;
Gop_OpenClosed_Open;
Graph;
Group;
Grouping;
GroupPreset;
h; h
HDR_Format;
Header file;Create a header file
Height;Výška
Height_CleanAperture;
Height_Original;Pôvodná výška
Help;Pomocník
Hint;
HomeTheaterAvr;
How many audio streams?;How many audio streams?
How many chapters streams?;How many chapters streams?
How many text streams?;How many text streams?
How many video streams?;How many video streams?
HTML;HTML
ID;ID
IdentClockStart;
IFrameInterval;
Image;Obrázok
Image stream(s);Image streams
Image_Codec_List;Codecs Image
ImageCount;Count of image streams
ImmersiveStereo;
Info;Info
Instruments;Instruments
IntegratedLoudness;
IntegratedLoudness_Level;
IntegratedLoudness_Speech;
InteractivityEnabled;
Interlaced_BFF;Dolný riadok ako prvý
Interlaced_Interlaced;Prekladané
Interlaced_PPF;Progresívne
Interlaced_Progressive;Progresívne
Interlaced_TFF;Horný riadok ako prvý
Interlacement;Prekladanie riadkov obrazu
Interleave_Duration;
Interleave_Preload;
Interleave_VideoFrames;
Interleaved;
InternetMediaType;
IRCA;IRCA
ISBN;ISBN
ISRC;ISRC
JocBalance_FrontBackListener;
JocBalance_FrontBackOverheadFloor;
JocTrim_Center;
JocTrim_Height;
JocTrim_Surround;
JocTrimMode;
JocTrimMode0i;
JocTrimMode1i;
JocTrimMode2i;
JocTrimMode3i;
JocTrimMode4i;
JocTrimMode5i;
JocTrimMode6i;
JocTrimMode7i;
JocTrimMode8i;
Keywords;Identifikujúce slová
Known codecs;Známe kodeky
Known formats;Známe formáty
Known parameters;Známe parametre
Label;Label
Language;Jazyk
Language_aa;Afar
Language_ab;Abkhazian
Language_ae;Avestan
Language_af;Afrikaans
Language_ak;Akan
Language_am;Amharic
Language_an;Aragonese
Language_ar;Arabic
Language_as;Assamese
Language_av;Avaric
Language_ay;Aymara
Language_az;Azerbaijani
Language_ba;Bashkir
Language_be;Belarusian
Language_bg;Bulgarian
Language_bh;Bihari
Language_bi;Bislama
Language_bm;Bambara
Language_bn;Bengali
Language_bo;Tibetsky
Language_br;Breton
Language_bs;Bosansky
Language_ca;Catalan
Language_ce;Chechen
Language_ch;Chamorro
Language_cmn;
Language_co;Corsican
Language_cr;Cree
Language_cs;Česky
Language_cu;Slave
Language_cv;Chuvash
Language_cy;Welsh
Language_da;Dánsky
Language_de;Nemecky
Language_dv;Divehi
Language_dz;Dzongkha
Language_ee;Ewe
Language_el;Grécky
Language_en;Anglicky
Language_en-gb;Anglicky (V.Británia)
Language_en-us;Anglicky (USA)
Language_eo;Esperanto
Language_es;Španielsky
Language_es-419;
Language_et;Estónsky
Language_eu;Baskidsky
Language_fa;Perzsky
Language_ff;Fulah
Language_fi;Fínsky
Language_fj;Fijian
Language_fo;Faroese
Language_fr;Francúzsky
Language_fy;Frisian
Language_ga;Írsky
Language_gd;Gaelic
Language_gl;Galician
Language_gn;Guarani
Language_gu;Gujarati
Language_gv;Manx
Language_ha;Hausa
Language_he;Hebrew
Language_hi;Hindsky
Language_ho;Hiri Motu
Language_hr;Chorvátsky
Language_ht;Haitian
Language_hu;Maďarsky
Language_hy;Arménsky
Language_hy-az;
Language_hz;Herero
Language_ia;Auxiliary Language Association
Language_id;Indonesian
Language_ie;Interlingue
Language_ig;Igbo
Language_ii;Sichuan Yi
Language_ik;Inupiaq
Language_Info;Informácie o jazyku
Language_io;Ido
Language_is;Islandsky
Language_it;Taliansky
Language_iu;Inuktitut
Language_ja;Japonsky
Language_jv;Javanese
Language_ka;Georgian
Language_kg;Kongo
Language_ki;Kikuyu
Language_kj;Kuanyama
Language_kk;Kazašsky
Language_kl;Kalaallisut
Language_km;Khmer
Language_kn;Kannada
Language_ko;Kórejsky
Language_kr;Kanuri
Language_ks;Kashmiri
Language_ku;Kurdsky
Language_kv;Komi
Language_kw;Cornish
Language_ky;Kirgyzsky
Language_la;Latin
Language_lb;Luxembursky
Language_lg;Ganda
Language_li;Limburgish
Language_ln;Lingala
Language_lo;Lao
Language_lt;Lithuanian
Language_lu;Luba-Katanga
Language_lv;Lytovsky
Language_mg;Malagasy
Language_mh;Marshallese
Language_mi;Maori
Language_mk;Macedónsky
Language_ml;Malayalam
Language_mn;Mongolsky
Language_mn-cn;
Language_mo;Moldavsky
Language_More;
Language_mr;Marathi
Language_ms;Malay
Language_ms-bn;
Language_mt;Maltese
Language_mul;Multiple languages
Language_my;Burmese
Language_na;Nauru
Language_nb;Norwegian Bokmal
Language_nd;Ndebele
Language_ne;Nepali
Language_ng;Ndonga
Language_nl;Holandsky
Language_nl-be;
Language_nn;Norwegian Nynorsk
Language_no;Nórsky
Language_nr;Ndebele
Language_nv;Navaho
Language_ny;Nyanja
Language_oc;Occitan
Language_oj;Ojibwa
Language_om;Oromo
Language_or;Oriya
Language_os;Ossetic
Language_pa;Panjabi
Language_pi;Pali
Language_pl;Poľsky
Language_ps;Pushto
Language_pt;Portugalsky
Language_pt-br;Portugalsky (Brazília)
Language_qu;Quechua
Language_rm;Raeto-Romance
Language_rn;Rundi
Language_ro;Rumunsky
Language_ru;Rusky
Language_rw;Kinyarwanda
Language_sa;Sanskrit
Language_sc;Sardinian
Language_sd;Sindhi
Language_se;Northern Sami
Language_sg;Sango
Language_si;Sinhala
Language_sk;Slovensky
Language_sl;Slovinsky
Language_sm;Samoan
Language_smi;
Language_sn;Shona
Language_so;Somali
Language_sq;Albánsky
Language_sr;Srbsky
Language_ss;Swati
Language_st;Sotho
Language_su;Sundanese
Language_sv;Švédsky
Language_sw;Swahili
Language_ta;Tamil
Language_te;Telugu
Language_tg;Tajik
Language_th;Thai
Language_ti;Tigrinya
Language_tk;Turkménsky
Language_tl;Tagalog
Language_tn;Tswana
Language_to;Tonga
Language_tr;Turecky
Language_ts;Tsonga
Language_tt;Tatar
Language_tw;Twi
Language_ty;Tahitian
Language_ug;Uighur
Language_uk;Ukrajinsky
Language_ur;Urdu
Language_uz;Uzbecky
Language_ve;Venda
Language_vi;Vietnamsky
Language_vo;Volapuk
Language_wa;Walloon
Language_wo;Wolof
Language_xh;Xhosa
Language_yi;Yiddish
Language_yo;Yoruba
Language_yue;
Language_za;Zhuang
Language_zh;Čínsky
Language_zh-cmn;
Language_zh-cn;Čínsky (Čína)
Language_zh-CN;
Language_zh-Hans;
Language_zh-Hant;
Language_zh-tw;Čínsky (Taiwan)
Language_zh-TW;
Language_zh-yue;
Language_zu;Zulu
LawRating;Law rating
LCCN;LCCN
LfeAttenuationKnown;
LfeMixGain;
Library;Muxing library
Lifetime_Subscribe_Button;
Lightness;
Lines_Count;
Lines_MaxCountPerEvent;
LineUpStart;
LinkedTo_Bed_Pos;
LinkedTo_ChannelFormat_Pos;
LinkedTo_ComplementaryObject_Pos;
LinkedTo_Content_Pos;
LinkedTo_Group_Pos;
LinkedTo_Object_Pos;
LinkedTo_PackFormat_Pos;
LinkedTo_SignalGroup_Pos;
LinkedTo_StreamFormat_Pos;
LinkedTo_Substream_Pos;
LinkedTo_TrackFormat_Pos;
LinkedTo_TrackUID_Pos;
List;Zoznam
LongTermLoudness;
LoRoCenterMixGain;
LoRoSurroundMixGain;
Loudness_Anchor;
Loudness_Anchor_Album;
Loudness_Count;
Loudness_Count_Album;
Loudness_MaximumMomentary;
Loudness_MaximumMomentary_Album;
Loudness_MaximumOfRange;
Loudness_MaximumOfRange_Album;
Loudness_MaximumShortTerm;
Loudness_MaximumShortTerm_Album;
Loudness_ProductionMixingLevel;
Loudness_ProductionMixingLevel_Album;
Loudness_Program;
Loudness_Program_Album;
Loudness_Range;
Loudness_Range_Album;
Loudness_RoomType;
Loudness_RoomType_Album;
LtRtCenterMixGain;
LtRtSurroundMixGain;
Lyricist;Textár
Lyrics;Text
Mastered_Date;Mastered date
MasteredBy;Mastered by
MasteringDisplay_ColorPrimaries;
MasteringDisplay_Luminance;
Matrix_Channel(s);
Matrix_ChannelPositions;
matrix_coefficients;
Matrix_Format;
MaxCLL;
MaxFALL;
MaxGain;
MaximumMomentaryLoudness;
MaxTruePeak;
MD5;
MD5_Unencoded;
MediaInfo_About;Supply very detailled information\r\nabout a multimedia file:\r\nMatroska, OGG (including OGM)\r\nMPEG1 (including VCD)\r\nMPEG2 (including DVD and SVCD)\r\nMPEG4 (including Itunes M4A)\r\nQuicktime\r\nRealMedia\r\nWindowsMedia (including WMV, WMA)\r\nMicrosoft RIFF (including AVI, WAV)\r\nSound-only formats (AC3, DTS, AAC, AU, AIFF...)
MediaInfo_About_About;
Menu;Menu
Menu stream(s);Menu streams
Menu_Codec_List;
Menu_Hint;More possibilities
Menu_No;Žiadne menu
MenuCount;Count of menu streams
MenuID;Označenie menu
Metadata_Format;
Metadata_Format_Type;
Metadata_MuxingMode;
MixType;
mn; min
Mood;Mood
More;Viac
Movie;Názov filmu
ms; ms
MSDI;MSDI
MultipleStream;
MusicBy;Hudbu zložil
MuxingMode;
MuxingMode_MoreInfo;
MuxingMode_PackedBitstream;
Name;Názov
Nationality;Národnosť
NetworkName;
New;Nový
Newest version;Pri spustení kontrolovať nové verzie
NewVersion_Menu;Nová verzia je k dispozícii
NewVersion_Question_Content;K dispozícii je nová verzia (v%Version%), chcete si ju stiahnuť ?
NewVersion_Question_Title;Bola vydaná nová verzia!
No;Nie
Not yet;Ešte nie
NumberOfChannelFormats;
NumberOfContents;
NumberOfDynamicObjects;
NumberOfElementaryStreams;
NumberOfObjects;
NumberOfPackFormats;
NumberOfPresentations;
NumberOfProgrammes;
NumberOfStreamFormats;
NumberOfSubstreams;
NumberOfTrackFormats;
NumberOfTrackUIDs;
NumColors;
Object;
ObjectCount;
OK;OK
One output file per input file;One output file per input file
Open;Otvoriť
OpenCaptionsLanguage;
OpenCaptionsPresent;
OpenCaptionsType;
Options;Nastavenie
Options_Hint;Predvoľby
Original;Originál
OriginalNetworkName;
OriginalSourceForm;
OriginalSourceMedium;
OriginalSourceMedium_ID;
Originator;
Other;Rôzne
OtherIdentifier;
OtherIdentifierType;
Output;Výstup
Output format;Zobraziť ako
OverallBitRate;Celkový dátový tok
OverallBitRate_Maximum;
OverallBitRate_Minimum;
OverallBitRate_Mode;
OverallBitRate_Nominal;
PackageName;
PackFormat;
Part;Časť
Part_Count;Celkový počet
PartNumber;
PartTotal;
Performer;Umelec
Period;Period
Phase90FilterInfo;
Phase90FilterInfo2ch;
Phone;Telefón
PictureRatio;
PixelAspectRatio;Pomer bodov
PixelAspectRatio_CleanAperture;
PixelAspectRatio_Original;Pomer bodov
PlayCounter;PlayCounter
Played_Count;
Played_First_Date;Dátum prvého prehratia
Played_Last_Date;Dátum posledného prehratia
PlayTime;Hrací čas
PodcastCategory;
PortableHeadphones;
PortableSpeakers;
Position;Pozícia
Position_Cartesian;
Position_Polar;
Position_Total;Celkom
Preferences;Predvoľby
PreferredDownmix;
Premium;
Premium_Summary;
PreselectionLabel;
Presentation;
PresentationConfig;
PresentationConfig_ContentClassifier;
PresentationID;
PreviousDownmixType5ch;
PreviousMixType2ch;
PrimaryAudioLanguage;
Producer;Producent
ProductionDesigner;ProductionDesigner
ProductionNumber;
ProductionStudio;ProductionStudio
ProductPlacement;
Programme;
ProgrammeHasText;
ProgrammeTextLanguage;
ProgrammeTitle;
Publisher;Publisher
Purchased_Date;Dátum zakúpenia
Quote character;Quote character
RadioStation;Rozhlasová stanica
Rating;Hodnotenie
RealtimeLoudnessCorrected;
Recorded_Date;Dátum nahrávania
Recorded_Location;Lokalita nahrávania
Reel;
Released_Date;Dátum vydania
RemixedBy;Remixoval/-a
RenderMode;
Renew;
ReplayGain_Gain;
ReplayGain_Peak;
Report;
Resolution;Rozlíšenie
RestoreLifetimeSubscription;
s; sek.
SamplePeakLevel;
SamplePeakLevel_Album;
SamplesPerFrame;
SamplingCount;
SamplingRate;Sampling rate
Save;Uložiť
ScanOrder;
ScanOrder_Original;
ScanOrder_Stored;
ScanOrder_StoredDisplayedInverted;
ScanOrder_StoreMethod;
ScanType;
ScanType_Original;
ScanType_StoreMethod;
ScreenplayBy;Screenplay by
ScreenToCenter;
