  Language_ISO639;it
Format_Settings_SBR;Impostazioni formato, SBR
Format_Settings_Sign;Impostazioni formato, Sign
Format_Settings_Wrapping;
Format_Tier;
Format_Url;Sito web formato
Format_Version;Versione formato
FpaManufacturer;
FpaPass;
FpaVersion;
FrameCount;Numero fotogrammi
FrameRate;Frame rate
FrameRate_Maximum;Frame rate massimo
FrameRate_Minimum;Frame rate minimo
FrameRate_Mode;Modalità frame rate
FrameRate_Mode_CFR;Costante
FrameRate_Mode_VFR;Variabile
FrameRate_Nominal;Frame rate nominale
FrameRate_Original;Frame rate originale
General;Generale
Genre;Genere
Genre_000;Blues
Genre_001;Rock Classico
Genre_002;Country
Genre_003;Dance
Genre_004;Disco
Genre_005;Funk
Genre_006;Grunge
Genre_007;Hip - Hop
Genre_008;Jazz
Genre_009;Metal
Genre_010;New Age
Genre_011;Intramontabili
Genre_012;Altri
Genre_013;Pop
Genre_014;R&B
Genre_015;Rap
Genre_016;Reggae
Genre_017;Rock
Genre_018;Techno
Genre_019;Industriale
Genre_020;Alternativa
Genre_021;Ska
Genre_022;Death Metal
Genre_023;Pranks
Genre_024;Colonna sonora
Genre_025;Euro techno
Genre_026;Ambiente
Genre_027;Trip-Hop
Genre_028;Vocal
Genre_029;Jazz+Funk
Genre_030;Fusion
Genre_031;Trance
Genre_032;Classica
Genre_033;Strumentale
Genre_034;Acid
Genre_035;House
Genre_036;Tratta da un gioco
Genre_037;Brano musicale
Genre_038;Gospel
Genre_039;Noise
Genre_040;Rock alternativo
Genre_041;Bass
Genre_042;Soul
Genre_043;Punk
Genre_044;Space
Genre_045;Meditativa
Genre_046;Strumentale POP
Genre_047;Strumentale Rock
Genre_048;Etnica
Genre_049;Gothica
Genre_050;Darkwave
Genre_051;Techno-Industriale
Genre_052;Elettronica
Genre_053;Pop-Folk
Genre_054;Eurodance
Genre_055;Dream
Genre_056;Rock del Sud
Genre_057;Commedia
Genre_058;Cult
Genre_059;Rap Gangsta
Genre_060;Top 40
Genre_061;Rap Cristiano
Genre_062;Pop/Funk
Genre_063;Jungle
Genre_064;Dei Nativi Americani
Genre_065;Cabaret
Genre_066;New Wave
Genre_067;Psichedelica
Genre_068;Rave
Genre_069;Showtunes
Genre_070;Trailer
Genre_071;Lo-Fi
Genre_072;Tribal
Genre_073;Acid Punk
Genre_074;Acid Jazz
Genre_075;Polka
Genre_076;Retro
Genre_077;Musical
Genre_078;Rock & Roll
Genre_079;Hard Rock
Genre_080;Folk
Genre_081;Folk-Rock
Genre_082;Natinal Folk
Genre_083;Swing
Genre_084;Fast Fusion
Genre_085;Bebop
Genre_086;Latin
Genre_087;Revival
Genre_088;Celtic
Genre_089;Bluegrass
Genre_090;Avantgarde
Genre_091;Gothic Rock
Genre_092;Progressive Rock
Genre_093;Psychedelic Rock
Genre_094;Symphonic Rock
Genre_095;Slow Rock
Genre_096;Big Band
Genre_097;Chorus
Genre_098;Easy Listening
Genre_099;Acoustic
Genre_100;Humour
Genre_101;Speech
Genre_102;Chanson
Genre_103;Opera
Genre_104;Chamber Music
Genre_105;Sonata
Genre_106;Symphony
Genre_107;Booty Bass
Genre_108;Primus
Genre_109;Porn Groove
Genre_110;Satire
Genre_111;Slow Jam
Genre_112;Club
Genre_113;Tango
Genre_114;Samba
Genre_115;Folklore
Genre_116;Ballad
Genre_117;Power Ballad
Genre_118;Rhythmic Soul
Genre_119;Freestyle
Genre_120;Duet
Genre_121;Punk Rock
Genre_122;Drum Solo
Genre_123;A cappella
Genre_124;Euro-House
Genre_125;Dance Hall
Genre_126;Goa
Genre_127;Drum & Bass
Genre_128;Club-House
Genre_129;Hardcore
Genre_130;Terror
Genre_131;Indie
Genre_132;Britpop
Genre_133;Afro-punk
Genre_134;Polsk Punk
Genre_135;Beat
Genre_136;Christian Gangsta Rap
Genre_137;Heavy Metal
Genre_138;Black Metal
Genre_139;Crossover
Genre_140;Contemporary Christian
Genre_141;Christian Rock 
Genre_142;Merengue
Genre_143;Salsa
Genre_144;Thrash Metal
Genre_145;Anime
Genre_146;JPop
Genre_147;Synthpop
Genre_148;Astratto
Genre_149;Art Rock
Genre_150;Baroque
Genre_151;Bhangra
Genre_152;Big Beat
Genre_153;Breakbeat
Genre_154;Chillout
Genre_155;Downtempo
Genre_156;Dub
Genre_157;EBM
Genre_158;Eclectic
Genre_159;Electro
Genre_160;Electroclash
Genre_161;Emo
Genre_162;Sperimentale
Genre_163;Garage
Genre_164;Globale
Genre_165;IDM
Genre_166;Illbient
Genre_167;Industro-Goth
Genre_168;Jam Band
Genre_169;Krautrock
Genre_170;Leftfield
Genre_171;Lounge
Genre_172;Math Rock
Genre_173;New Romantic
Genre_174;Nu-Breakz
Genre_175;Post-Punk
Genre_176;Post-Rock
Genre_177;Psytrance
Genre_178;Shoegaze
Genre_179;Space Rock
Genre_180;Trop Rock
Genre_181;World Music
Genre_182;Neo classico
Genre_183;Audiobook
Genre_184;Audio Theatre
Genre_185;Neue Deutsche Welle
Genre_186;Podcast
Genre_187;Indie Rock
Genre_188;G-Funk
Genre_189;Dubstep
Genre_190;Garage Rock
Genre_191;Psybient
Go to WebSite;Vai al sito internet
Gop_OpenClosed;
Gop_OpenClosed_Closed;
Gop_OpenClosed_FirstFrame;
Gop_OpenClosed_Open;
Grouping;
h; o
HDR_Format;
Header file;Crea intestazione file
Height;Altezza
Height_CleanAperture;
Height_Original;Altezza originale
Help;?
Hint;Suggerimento
How many audio streams?;Quante sono le tracce audio?
How many chapters streams?;Quanti sono i capitoli?
How many text streams?;Quanti sono i sottotitoli?
How many video streams?;Quante sono le tracce video?
HTML;HTML
ID;ID
IdentClockStart;
Image;Immagine
Image stream(s);Flussi immagini
Image_Codec_List;Codec immagini
ImageCount;Numero frame
Info;Informazioni
Instruments;Strumenti
Interlaced_BFF;Bottom field first
Interlaced_Interlaced;Interlacciato
Interlaced_PPF;Progressivo
Interlaced_Progressive;Progressivo
Interlaced_TFF;Top field first
Interlacement;Interlacciamento
Interleave_Duration;Durata intervallo
Interleave_Preload; Intervallo pre caricamento
Interleave_VideoFrames;Intervallo frame video
Interleaved;Intervallato
InternetMediaType;Tipo supporto internet
IRCA;IRCA
ISBN;ISBN
ISRC;ISRC
Keywords;Parole chiavi
Known codecs;Codec conoscituti
Known formats;Formati conosciuti
Known parameters;Parametri conosciuti
Label;Etichetta
Language;Lingua
Language_aa;Afar
Language_ab;Abkhaziano
Language_ae;Avestano
Language_af;Afrikaans
Language_ak;Akan
Language_am;Amarico
Language_an;Aragonese
Language_ar;Arabo
Language_as;Assamese
Language_av;Avarico
Language_ay;Aymara
Language_az;Azero
Language_ba;Bashkir
Language_be;Bielorusso
Language_bg;Bulgaro
Language_bh;Bihari
Language_bi;Bislama
Language_bm;Bambara
Language_bn;Lingua bengali
Language_bo;Tibetano
Language_br;Bretone
Language_bs;Bosniaco
Language_ca;Catalano
Language_ce;Ceceno
Language_ch;Chamorro
Language_co;Corso
Language_cr;Cree
Language_cs;Ceco
Language_cu;Church Slavonic
Language_cv;Chuvash
Language_cy;Gallese
Language_da;Danese
Language_de;Tedesco
Language_dv;Divehi
Language_dz;Dzongkha
Language_ee;Ewe
Language_el;Greco
Language_en;Inglese
Language_en-gb;Inglese (Gran Bretagna)
Language_en-us;Inglese (Americano)
Language_eo;Esperanto
Language_es;Spagnolo
Language_es-419;
Language_et;Estone
Language_eu;basco
Language_fa;Persiano
Language_ff;Fula
Language_fi;Finnico
Language_fj;Fijian
Language_fo;Faroese
Language_fr;Francese
Language_fy;Frisone
Language_ga;Gaelico irlandese
Language_gd;Gaelico scozzese
Language_gl;Galiziano
Language_gn;Guarani
Language_gu;Gujarati
Language_gv;Manx
Language_ha;Hausa
Language_he;Ebraico
Language_hi;Hindi
Language_ho;Hiri Motu
Language_hr;Croato
Language_ht;Haitiano
Language_hu;Ungherese
Language_hy;Armeno
Language_hy-az;
Language_hz;Herero
Language_ia;Interlingua
Language_id;Indonesiano
Language_ie;Interlingue
Language_ig;Igbo
Language_ii;Sichuan Yi
Language_ik;Inupiaq
Language_Info;Lingua
Language_io;Ido
Language_is;Islandese
Language_it;Italiano
Language_iu;Inuktitut
Language_ja;Giapponese
Language_jv;Giavanese
Language_ka;Georgiano
Language_kg;Kongo
Language_ki;Kikuyu
Language_kj;Kuanyama
Language_kk;Kazako
Language_kl;Groenlandese
Language_km;Khmer
Language_kn;Kannada
Language_ko;Coreano
Language_kr;Kanuri
Language_ks;Kashmiri
Language_ku;Curdo
Language_kv;Komi
Language_kw;Cornico
Language_ky;Kirghiso
Language_la;Latino
Language_lb;Lussemburghese
Language_lg;Ganda
Language_li;Limburghese
Language_ln;Lingala
Language_lo;Lao
Language_lt;Lituano
Language_lu;Luba-katanga
Language_lv;Lettone
Language_mg;Malagasy
Language_mh;Marshallese
Language_mi;Maori
Language_mk;Macedone
Language_ml;Malayalam
Language_mn;Mongolo
Language_mn-cn;
Language_mo;Moldavo
Language_More;Informazioni aggiuntive lingua
Language_mr;Marathi
Language_ms;Malay
Language_ms-bn;
Language_mt;Maltese
Language_mul;Multilingua
Language_my;Burmese
Language_na;Nauru
Language_nb;Norvegese Bokmål
Language_nd;Ndebele, North
Language_ne;Nepalese
Language_ng;Ndonga
Language_nl;Olandese
Language_nl-be;
Language_nn;Norvegese Nynorsk
Language_no;Norvegese
Language_nr;Ndebele, South
Language_nv;Navajo
Language_ny;Chichewa
Language_oc;Occitano
Language_oj;Ojibwa
Language_om;Oromo
Language_or;Oriya
Language_os;Osseto
Language_pa;Panjabi
Language_pi;Pali
Language_pl;Polacco
Language_ps;Pashto
Language_pt;Portoghese
Language_pt-br;Portoghese (Brasile)
Language_qu;Quechua
Language_rm;Romancio
Language_rn;Rundi
Language_ro;Rumeno
Language_ru;Russo
Language_rw;Kinyarwanda
Language_sa;Sanscrito
Language_sc;Sardo
Language_sd;Sindhi
Language_se;Lingua sami di Northern
Language_sg;Sango
Language_si;Sinhalese
Language_sk;Slovacco
Language_sl;Sloveno
Language_sm;Samoan
Language_smi;
Language_sn;Shona
Language_so;Somalo
Language_sq;Albanese
Language_sr;Serbo
Language_ss;Swati
Language_st;Sotho, Southern
Language_su;Sundanese
Language_sv;Svedese
Language_sw;Swahili
Language_ta;Tamil
Language_te;Telugu
Language_tg;Tagico
Language_th;Thai
Language_ti;Tigrino
Language_tk;Turcmeno
Language_tl;Tagalog
Language_tn;Tswana
Language_to;Tonga
Language_tr;Turco
Language_ts;Tsonga
Language_tt;Tataro
Language_tw;Twi
Language_ty;Tahitian
Language_ug;Uighur
Language_uk;Ucraino
Language_ur;Urdu
Language_uz;Usbeco
Language_ve;Venda
Language_vi;Vietnamita
Language_vo;Volapük
Language_wa;Vallone
Language_wo;Wolof
Language_xh;Xhosa
Language_yi;Yiddish
Language_yo;Yoruba
Language_za;Zhuang
Language_zh;Cinese
Language_zh-cn;Cinese (Cina)
Language_zh-tw;Cinese (Taiwan)
Language_zu;Zulu
LawRating;Classificazione legale
LCCN;LCCN
Library;Libreria
Lightness;Luminosità
LineUpStart;
List;Elenco
Loudness_Anchor;
Loudness_Anchor_Album;
Loudness_Count;
Loudness_Count_Album;
Loudness_MaximumMomentary;
Loudness_MaximumMomentary_Album;
Loudness_MaximumOfRange;
Loudness_MaximumOfRange_Album;
Loudness_MaximumShortTerm;
Loudness_MaximumShortTerm_Album;
Loudness_ProductionMixingLevel;
Loudness_ProductionMixingLevel_Album;
Loudness_Program;
Loudness_Program_Album;
Loudness_Range;
Loudness_Range_Album;
Loudness_RoomType;
Loudness_RoomType_Album;
Lyricist;Autore del testo
Lyrics;Testo
Mastered_Date;Data di incisione 
MasteredBy;Inciso da
MasteringDisplay_ColorPrimaries;
MasteringDisplay_Luminance;
Matrix_Channel(s);
Matrix_ChannelPositions;
matrix_coefficients;Coefficienti matrici
Matrix_Format;
MaxCLL;
MaxFALL;
MediaInfo_About;MediaInfo fornisce un accesso veloce alle informazioni tecniche ed ai tag dei file audio e video.\r\nAd eccezione dell'interfaccia grafica Mac APp Store, è un software open-source, ciò significa che il programma è gratuito per l'utente finale e che lo sviluppatore è libero di studiare, migliorare e ridistribuire (licenza LGPL).
MediaInfo_About_About;
Menu;Menu
Menu stream(s);Flussi del menu
Menu_Codec_List;Codec dei menu
Menu_Hint;Altre possibilità
Menu_No;Nessun menu
MenuCount;Numero canali
MenuID;ID menu
mn; min
Mood;Disposizione
More;Altro
Movie;Film
ms; ms
MSDI;MSDI
MusicBy;Composto da
MuxingMode;Modo muxing
MuxingMode_MoreInfo;Informazioni aggiuntive modo muxing
MuxingMode_PackedBitstream;Packet Bitstream
Name;Nome
Nationality;Nazionalità
NetworkName;Nome in rete
New;Nuovo
Newest version;Controlla aggiornamenti (richiede una connessione a internet)
NewVersion_Menu;E' disponibile una nuova versione
NewVersion_Question_Content;E' disponibile una nuova versione (v%Version%). Scaricarla ora?
NewVersion_Question_Title;E' stata rilasciata una nuova versione!
No;No
Not yet;Non ancora
NumberOfDynamicObjects;
NumColors;Numero colori
OK;Ok
One output file per input file;Un file destinazione per ogni file sorgente
Open;Apri
OpenCandy_01;Scaricamento ________
OpenCandy_02;__% completato
OpenCandy_03;Connessione internet interrotta
OpenCandy_04;________ download completato
OpenCandy_05;Fai clic per installare ________
OpenCandy_06;Annullare l'installazione?\r\nSe vuoi postporre l'installazione, seleziona <No>.\r\nNota: puoi selezionare <Esci> dal menu per annullare l'installazione sino al nuovo riavvio.
OpenCandy_07;Il download di ________ è stato messo in pausa.\r\nFai clic sull'icona nella barra di sistema per riprendere.
OpenCandy_08;ERRORE CRITICO. L'installazione di _________ è stata annullata.
OpenCandy_09;Pausa
OpenCandy_10;Annulla installazione
OpenCandy_11;Riprendi download
OpenCandy_12;Esci dall'installazione
OpenCandy_13;___________ - Raccomandato da ____________
OpenCandy_14;Download di _________
OpenCandy_15;___________, programma raccomandato da ___________, è in download Verrai avvisato quando sarà pronto per l'installazione.
OpenCandy_16;___________ è pronto per l'installazione
OpenCandy_17;___________ è stato scaricato. Fai clic su <Installa> per procedere.
OpenCandy_18;___________ di ___________ scaricati
OpenCandy_19;Realizzato da OpenCandy
OpenCandy_20;Maggiori informazioni su OpenCandy.com
OpenCandy_21;Installa
OpenCandy_22;Installazione di ___________
OpenCandy_23;Questo annullerà l'installazione di ___________\r\nAnnullare l'installazione?
OpenCandy_24;Pausa
OpenCandy_25;Il download è stato messo in pausa. Fai clic su <Riprendi> per continuare.
OpenCandy_26;Riprendi
OpenCandy_27;Installa ora
OpenCandy_28;Pausa
OpenCandy_29;Riprendi
OpenCandy_30;Annulla installazione
OpenCandy_31;Seleziona opzioni installazione
OpenCandy_32;Installa
OpenCandy_33;Non installare
OpenCandy_34;Seleziona opzioni installazione
OpenCandy_35;______ consiglia questo programma
OpenCandy_36;L'attuale installazione non verrà interrotta
OpenCaptionsLanguage;
OpenCaptionsPresent;
OpenCaptionsType;
Options;Opzioni
Options_Hint;Preferenze
Original;Originale
OriginalNetworkName;Nome originale in rete
OriginalSourceForm;Modulo originale sorgente
OriginalSourceMedium;Supporto originale
OriginalSourceMedium_ID;
Originator;
Other;Altri
OtherIdentifier;
OtherIdentifierType;
Output;Destinazione
Output format;Formato destinazione
OverallBitRate;Bitrate totale
OverallBitRate_Maximum;Bitrate massimo generale
OverallBitRate_Minimum;Bitrate minimo generale
OverallBitRate_Mode;Modo bitrate generale
OverallBitRate_Nominal;BitRate nominale generale
PackageName;
Part;Parte
Part_Count;Totale
PartNumber;
PartTotal;
Performer;Esecutore
Period;Periodo
Phone;Telefono
PictureRatio;
PixelAspectRatio;Rapporto aspetto pixel
PixelAspectRatio_CleanAperture;
PixelAspectRatio_Original;Rapporto aspetto pixel originale
PlayCounter;Riprodotto per
Played_Count;Visualizzato
Played_First_Date;Riprodotto la prima volta
Played_Last_Date;Riprodotto l'ultima volta
PlayTime;Durata
PodcastCategory;
Position;Posizione
Position_Total;Totale
Preferences;Preferenze
Premium;
Premium_Summary;
PrimaryAudioLanguage;
Producer;Produttore
ProductionDesigner;Production Designer
ProductionNumber;
ProductionStudio;Studio di registrazione
ProductPlacement;
ProgrammeHasText;
ProgrammeTextLanguage;
ProgrammeTitle;
Publisher;Pubblicato da
Purchased_Date;Data di acquisto
Quote character;Carattere quotatura
RadioStation;Stazione radio
Rating;Posizione
Recorded_Date;Data registrazione
Recorded_Location;Luogo registrazione
Released_Date;Data distribuzione
RemixedBy;Remixato da
Renew;
ReplayGain_Gain;Replay gain
ReplayGain_Peak;Replau gain peak
Report;
Resolution;Risoluzione
s;s
SamplePeakLevel;
SamplePeakLevel_Album;
SamplesPerFrame;
SamplingCount;Contatore frequenza
SamplingRate;Frequenza campionamento
Save;Salva
ScanOrder;Ordine scansione
ScanOrder_Original;Ordine scansione
ScanOrder_Stored;Memorizza ordine scansione
ScanOrder_StoredDisplayedInverted;Ordine scansione, memorizza/visualizza ordine invertito
ScanOrder_StoreMethod;
ScanType;Tipo scansione
ScanType_Original;Tipo scansione originale
ScanType_StoreMethod;
