  Language_ISO639;nl
 MebiByte1; MebiByte
 MebiByte2; MebiBytes
 MebiByte3; MebiBytes
 MegaBit1; MegaBit
 MegaBit2; MegaBits
 MegaBit3; MegaBits
 MegaByte1; MegaByte
 MegaByte2; MegaBytes
 MegaByte3; MegaBytes
 MHz; MHz
 MiB; MiB
 Mib; Mib
 MiBps; MiB/s
 millisecond1; milliseconde
 millisecond2; milliseconden
 millisecond3; milliseconden
 minute1; minuut
 minute2; minuten
 minute3; minuten
 month1; maand
 month2; maanden
 month3; maanden
 object1;
 object2;
 object3;
 pixel1; pixel
 pixel2; pixels
 pixel3; pixels
 second1; seconde
 second2; seconden
 second3; seconden
 text stream1; tekststroom
 text stream2; tekststromen
 text stream3; tekststromen
 video frames1; videoframes
 video frames2; videoframes
 video frames3; videoframes
 video stream1; videostroom
 video stream2; videostromen
 video stream3; videostromen
 warppoint0;Geen warppoints
 warppoint1; warppoint
 warppoint2; warppoints
 warppoint3; warppoints
 week1; week
 week2; weken
 week3; weken
 year1; jaar
 year2; jaren
 year3; jaren
, ;, 
: ;: 
3D;
3DType;
608_Mode;
About;Info
About_Hint;Hoe neemt u contact met mij op en vindt u de nieuwste versie
Accompaniment;Begeleiding
ActiveFormatDescription;
ActiveFormatDescription_MuxingMode;
Actor;Acteur
Actor_Character;Personage
Add creation date to text output;
Add version to text output;
Added_Date; Toegevoegde datum
Address;Adres
AdID;
ADM: Show ChannelFormats;
ADM: Show TrackUIDs;
AdmProfile;
Advanced;Geavanceerd
Advanced mode;Geavanceerde modus
Album;Album
Album_ReplayGain_Gain;Album replay gain
Album_ReplayGain_Peak;Album replay gain piek
Alignment; Uitlijning
Alignment_Aligned;Uitgelijnd op interleaves
Alignment_Split;Gesplitst over interleaves
All;Alles
AlternateGroup;
Archival_Location;Archieflocatie
Arranger;Arrangeur
ArtDirector;Artdirector
AspectRatio;Beeldverhouding
AssistantDirector;Assistant-regisseur
AssociatedVideo_FrameRate;
at;met
At least one file;(U moet tenminste één bestand openen)
Audio;Audio
Audio stream(s);Audiostromen
Audio_Codec_List;Audiocodecs
Audio_No;Geen audio
Audio1;Eerste audiostroom
Audio2;Tweede audiostroom
AudioComments;
AudioCount;Telling van audiostromen
AudioDescription;
AudioDescriptionPresent;
AudioDescriptionType;
AudioLoudnessStandard;
AudioRenderingIndication;
AudioSceneInfoID;
AudioTrackLayout;
Author;Auteur
BarCode;Streepjescode
Basic;Elementair
Basic_Note;Let op : voor meer informatie over dit bestand, moet u een ander beeld kiezen (Blad, Boomstructuur,...)
BedChannelConfiguration;
BedChannelCount;
BinauralRenderMode;
BitDepth;
BitDepth_Detected;
BitDepth_Stored;
BitRate;Bitrate
BitRate_Encoded;
BitRate_Maximum;Maximale bitrate
BitRate_Minimum;Minimale bitrate
BitRate_Mode;Bitrate-modus
BitRate_Mode_CBR;Constant
BitRate_Mode_VBR;Variabel
BitRate_Nominal;Nominale bitrate
Bits-(Pixel*Frame);Bits/(Pixel*Frame)
BufferSize;
Cancel;Annuleren
CaptionServiceName;
Channel(s);Kanaal(en)
ChannelCoded;
ChannelConfiguration;
ChannelLayout;
ChannelMode;
ChannelPositions;Kanaalposities
Chapter(s);Hoofdstuk(ken)
Chapters;Hoofdstukken
Chapters stream(s);Hoofdstukkenstroom(en)
Chapters_Codec_List;Hoofdstukkencodecs
Chapters_No;Geen hoofdstukken
ChaptersCount;Telling van hoofdstukkenstromen
CheckNewVersion;Controleer op versie
Choose custom;Kies aangepast
Choose custom sheet;Kies uw gewenste aangepaste blad
Choose custom text;Kies uw gewenste aangepaste tekst
Choose export format;Kies uw gewenste exportformaat
Choose file(s);Kies de te openen bestanden
Choose filename;Kies uw gewenste bestandsnaam
Choose language;Kies uw gewenste taal
Choreographer;Choreograaf
Chroma;Chroma
ChromaSubsampling;
Classifier;
ClearList;
Close;Sluiten
Close all before open;Sluit alle alvorens te openen
ClosedCaptionsLanguage;
ClosedCaptionsPresent;
ClosedCaptionsType;
Codec;Codec
Codec_Description;Codecbeschrijving
Codec_Info;Details voor codec
Codec_Profile;Codecprofiel
Codec_Settings;Codec-instellingen
Codec_Settings_BVOP;Codec-instellingen, BVOP
Codec_Settings_CABAC;Codec-instellingen, CABAC
Codec_Settings_Endianness;Codec-instellingen, Endianness
Codec_Settings_Firm;Codec-instellingen, Firm
Codec_Settings_Floor;Codec-instellingen, Floor
Codec_Settings_GMC;Codec-instellingen, GMC
Codec_Settings_ITU;Codec-instellingen, ITU
Codec_Settings_Law;Codec-instellingen, Law
Codec_Settings_Matrix;Codec-instellingen, Matrix
Codec_Settings_PacketBitStream;Codec-instellingen, Packet bitstream
Codec_Settings_QPel;Codec-instellingen, QPel
Codec_Settings_Sign;Codec-instellingen, Sign
Codec_Url;Weblink voor codec
CodecConfigurationBox;
CodecID;Codec-ID
CodecID_Description; Beschrijving van de codec
CoDirector;
Collection;Collectie
Colorimetry; Colorimetrie
ColorSpace;
colour_primaries;
colour_range;
Comment;Commentaar
CommissionedBy;In opdracht van
Compilation;
CompleteName;Volledige naam
CompletionDate;
ComplexityIndex;
Composer;Componist
Compression_Mode;
Compression_Mode_Lossless;
Compression_Mode_Lossy;
Compression_Ratio;Compressieverhouding
Conductor;Dirigent
ConformanceCheck;
ContactEmail;
ContactTelephoneNumber;
Container and general information;Container en algemene informatie
ContentType;Inhoudstype
CoProducer;Coproducent
Copyright;Auteursrecht
CopyrightYear;
CostumeDesigner;Kostuumontwerper
Count;Telling
Country;Land
Cover;Hoes
Cover_Datas;Covergegevens
Cover_Description;Coverbeschrijving
Cover_Mime;Cover-MIME
Cover_Type;Coversoort
Cropped;Cropafmetingen
Custom;Aangepast
Customize;Aanpassen
DarkMode;
Date;Datum
Debug;Debug
Decimal point;Decimale punt
Default_Setting;
DefaultTargetDeviceConfig;
Delay;Vertraging
Delay_Source;
Delay_Source_Container;
Delay_Source_Stream;
Delete;Verwijderen
Description;Beschrijving
dialnorm;
DialogueCorrected;
DialogueEnhancement;
DialogueNormalization;
Digitized_Date;Digitaliseringsdatum
Dimensions;Afmetingen
Director;Regisseur
DirectorOfPhotography;Cinematograaf
Disabled;
DisplayAspectRatio;Beeldverhouding
DisplayAspectRatio_CleanAperture;
DisplayAspectRatio_Original;Originele beeldverhouding
DistributedBy;Gedistribueerd door
Distributor;
Dolby_Atmos_Metadata;
DolbyAtmos;
Donate;Doneren
DotsPerInch;Punten per inch
Downmix;
Downmix_5.1.x;
Downmix_5to2;
Downmix_5to2_90deg;
DrcSets_Count;
DrcSets_Effects;
Duration;Duur
Duration_End;
Duration_End_Command;
Duration_Start;
Duration_Start_Command;
Duration_Start2End;
DynamicRangeControl;
Eac3DrcProfile;
Edit;Bewerken
EditedBy;Bewerkt door
EditorialClassification;
ElementCount;
EMail;E-Mail
Encoded_Application;Gebruikt programma
Encoded_Date;Datum codering
Encoded_Library;Gebruikte encoderbibliotheek
Encoded_Library_Settings;Instellingen codering
Encoded_Original;Origineel
EncodedBy;Gecodeerd door
EPG_Positions;
EpisodeTitleNumber;
Error_File;Fout tijdens lezen bestand
Error_File_Write;
Events_PaintOn;
Events_PopOn;
Events_RollUp;
Events_Total;
ExecutiveProducer;Uitvoerend producent
Exit;Afsluiten
Exit_Hint;Beëindig het programma
Export;Exporteren
Export_Hint;Exporteren in aangepast formaat
Extensions;Gebruikelijke extensies
External_Media_NotMounted;
Family;Familie
Fax;Fax
File;Bestand
File size;Bestandsgrootte
File_Append;Toevoegen aan bestaande bestand (Waarschuwing : gebruik dezelfde parameters)
File_Created_Date;Aanmaakdatum bestand
File_Created_Date_Local;
File_Hint;Kies een te onderzoeken multimediabestand
File_Modified_Date;Datum laatste bestandswijziging
File_Modified_Date_Local;
FileExtension;Bestandsextensie
FileName;Bestandsnaam
FileNameExtension;
FileSize;Bestandsgrootte
FirstDisplay_Delay_Frames;
FirstDisplay_Type;
FlatPanelTv;
FlowID;
Folder;Map
Folder (R);Map (R)
Folder (R)_Hint;Kies een te onderzoeken map (inclusief onderliggende mappen)
Folder (Recursively);Map (Recursief)
Folder_Hint;Kies een te onderzoeken map
FolderName;Mapnaam
Format;Formaat
Format_Commercial;
Format_Commercial_IfAny;
Format_Compression;
Format_Description;Formaatbeschrijving
Format_Info;Details over formaat
Format_Level;
Format_Profile;Formaatprofiel
Format_Settings;Formaatinstellingen
Format_Settings_BVOP;Formaatinstellingen, BVOP
Format_Settings_CABAC;Formaatinstellingen, CABAC
Format_Settings_Emphasis;
Format_Settings_Endianness;Formaatinstellingen, Endianness
Format_Settings_Firm;Formaatinstellingen, Firm
Format_Settings_Floor;Formaatinstellingen, Floor
Format_Settings_FrameMode;
Format_Settings_GMC;Formaatinstellingen, GMC
Format_Settings_GOP;
Format_Settings_ITU;Formaatinstellingen, ITU
Format_Settings_Law;Formaatinstellingen, Law
Format_Settings_Matrix;Formaatinstellingen, Matrix
Format_Settings_Matrix_Custom;Aangepast
Format_Settings_Matrix_Default;Standaard
Format_Settings_Mode;
Format_Settings_ModeExtension;
Format_Settings_PacketBitStream;Formaatinstellingen, Packet bitstream
Format_Settings_PictureStructure;
Format_Settings_PS;Formaatinstellingen, PS
Format_Settings_Pulldown;Formaatinstellingen, Pulldown
Format_Settings_QPel;Formaatinstellingen, Qpel
Format_Settings_RefFrames;Formaatinstellingen, RefFrames
Format_Settings_SBR;Formaatinstellingen, SBR
Format_Settings_Sign;Formaatinstellingen, Sign
Format_Settings_Wrapping;
Format_Tier;
Format_Url;Weblink voor formaat
Format_Version;Formaatversie
FpaManufacturer;
FpaPass;
FpaVersion;
FrameCount;Framecount
FrameRate;Framerate
FrameRate_MaxFrameNumber;
FrameRate_Maximum;Maximale framrate
FrameRate_Minimum;Minimale framrate
FrameRate_Mode;Frameratemodus
FrameRate_Mode_CFR;Constant
FrameRate_Mode_VFR;Variabel
FrameRate_Nominal;Nominale framrate
FrameRate_Original;Originele framerate
FrameRate_Real;
General;Algemeen
Genre;Muziekstijl
Genre_000;Blues
Genre_001;Classic Rock
Genre_002;Country
Genre_003;Dance
Genre_004;Disco
Genre_005;Funk
Genre_006;Grunge
Genre_007;Hiphop
Genre_008;Jazz
Genre_009;Metal
Genre_010;New Age
Genre_011;Gouwe Ouwe
Genre_012;Ander
Genre_013;Pop
Genre_014;R&B
Genre_015;Rap
Genre_016;Reggae
Genre_017;Rock
Genre_018;Techno
Genre_019;Industrial
Genre_020;Alternatief
Genre_021;Ska
Genre_022;Deathmetal
Genre_023;Grappen
Genre_024;Soundtrack
Genre_025;Eurotechno
Genre_026;Ambient
Genre_027;Triphop
Genre_028;Vocal
Genre_029;Jazz+Funk
Genre_030;Fusion
Genre_031;Trance
Genre_032;Klassiek
Genre_033;Instrumentaal
Genre_034;Acid
Genre_035;House
Genre_036;Spel
Genre_037;Geluidsfragment
Genre_038;Gospel
Genre_039;Noise
Genre_040;Alternatieve Rock
Genre_041;Bass
Genre_042;Soul
Genre_043;Punk
Genre_044;Space
Genre_045;Meditatief
Genre_046;Instrumentale Pop
Genre_047;Instrumentale Rock
Genre_048;Etnisch
Genre_049;Gothic
Genre_050;Darkwave
Genre_051;Techno-Industrial
Genre_052;Electronisch
Genre_053;Popfolk
Genre_054;Eurodance
Genre_055;Dream
Genre_056;Southern Rock
Genre_057;Comedy
Genre_058;Cult
Genre_059;Gangsta
Genre_060;Top 40
Genre_061;Christelijke Rap
Genre_062;Pop/Funk
Genre_063;Jungle
Genre_064;Native American
Genre_065;Cabaret
Genre_066;New Wave
Genre_067;Psychedelisch
Genre_068;Rave
Genre_069;Showtunes
Genre_070;Trailer
Genre_071;Lo-Fi
Genre_072;Tribal
Genre_073;Acid Punk
Genre_074;Acid Jazz
Genre_075;Polka
Genre_076;Retro
Genre_077;Musical
Genre_078;Rock-’n-roll
Genre_079;Hardrock
Genre_080;Folk
Genre_081;Folkrock
Genre_082;National Folk
Genre_083;Swing
Genre_084;Fast Fusion
Genre_085;Bebob
Genre_086;Latin
Genre_087;Revival
Genre_088;Keltisch
Genre_089;Bluegrass
Genre_090;Avantgarde
Genre_091;Gothic Rock
Genre_092;Progressive Rock
Genre_093;Psychedelische Rock
Genre_094;Symphonische Rock
Genre_095;Slow Rock
Genre_096;Bigband
Genre_097;Koor
Genre_098;Easy Listening
Genre_099;Akoestisch
Genre_100;Humor
Genre_101;Spraak
Genre_102;Chanson
Genre_103;Opera
Genre_104;Kamermuziek
Genre_105;Sonate
Genre_106;Symfonie
Genre_107;Booty Bass
Genre_108;Primus
Genre_109;Porn Groove
Genre_110;Satire
Genre_111;Slow Jam
Genre_112;Club
Genre_113;Tango
Genre_114;Samba
Genre_115;Folklore
Genre_116;Ballad
Genre_117;Powerballad
Genre_118;Ritmische Soul
Genre_119;Freestyle
Genre_120;Duet
Genre_121;Punkrock
Genre_122;Drumsolo
Genre_123;A capella
Genre_124;Euro-House
Genre_125;Dancehall
Genre_126;Goa
Genre_127;Drum-’n-bass
Genre_128;Clubhouse
Genre_129;Hardcore
Genre_130;Terror
Genre_131;Indie
Genre_132;Britpop
Genre_133;Negerpunk
Genre_134;Polsk Punk
Genre_135;Beat
Genre_136;Christian Gangsta Rap
Genre_137;Heavy Metal
Genre_138;Black Metal
Genre_139;Crossover
Genre_140;Gospelrock
Genre_141;Christelijke Rock
Genre_142;Merengue
Genre_143;Salsa
Genre_144;Trash Metal
Genre_145;Anime
Genre_146;JPop
Genre_147;Synthpop
Genre_148;
Genre_149;
Genre_150;
Genre_151;
Genre_152;
Genre_153;
Genre_154;
Genre_155;
Genre_156;
Genre_157;
Genre_158;
Genre_159;
Genre_160;
Genre_161;
Genre_162;
Genre_163;
Genre_164;
Genre_165;
Genre_166;
Genre_167;
Genre_168;
Genre_169;
Genre_170;
Genre_171;
Genre_172;
Genre_173;
Genre_174;
Genre_175;
Genre_176;
Genre_177;
Genre_178;
Genre_179;
Genre_180;
Genre_181;
Genre_182;
Genre_183;
Genre_184;
Genre_185;
Genre_186;
Genre_187;
Genre_188;
Genre_189;
Genre_190;
Genre_191;
Go to WebSite;Ga naar website
Gop_OpenClosed;
Gop_OpenClosed_Closed;
Gop_OpenClosed_FirstFrame;Grouping
Gop_OpenClosed_Open;
Graph;
Group;
Grouping;
GroupPreset;
h; h
HDR_Format;
Header file;Headerbestand maken
Height;Hoogte
Height_CleanAperture;
Height_Original;
Help;Help
Hint;Hint
HomeTheaterAvr;
How many audio streams?;Hoeveel audiostromen?
How many chapters streams?;Hoeveel hoofdstukstromen?
How many text streams?;Hoeveel tekststromen?
How many video streams?;Hoeveel videostromen?
HTML;HTML
ID;ID
IdentClockStart;
IFrameInterval;
Image;Video
Image stream(s);Videostromen
Image_Codec_List;Videocodecs
ImageCount;Telling van videostromen
ImmersiveStereo;
Info;Info
Instruments;Instrumenten
IntegratedLoudness_Level;
IntegratedLoudness_Speech;
InteractivityEnabled;
Interlaced_BFF;Onderste Veld Eerst
Interlaced_Interlaced;Interlaced
Interlaced_PPF;Progressief
Interlaced_Progressive;Progressief
Interlaced_TFF;Bovenste Veld Eerst
Interlacement;Interlacement
Interleave_Duration;Interleave, duur
Interleave_Preload;Interleave, preloadduur
Interleave_VideoFrames;Interleave, duur
Interleaved;
InternetMediaType;
IRCA;IRCA
ISBN;ISBN
ISRC;ISRC
JocBalance_FrontBackListener;
JocBalance_FrontBackOverheadFloor;
JocTrim_Center;
JocTrim_Height;
JocTrim_Surround;
JocTrimMode;
JocTrimMode0i;
JocTrimMode1i;
JocTrimMode2i;
JocTrimMode3i;
JocTrimMode4i;
JocTrimMode5i;
JocTrimMode6i;
JocTrimMode7i;
JocTrimMode8i;
Keywords;Sleutelwoorden
Known codecs;Bekende codecs
Known formats;Bekende formaten
Known parameters;Bekende parameters
Label;Label
Language;Taal
Language_aa;Afar
Language_ab;Abchazisch
Language_ae;Avestaans
Language_af;Afrikaans
Language_ak;Akan
Language_am;Amharic
Language_an;Aragonees
Language_ar;Arabisch
Language_as;Assamitisch
Language_av;Avaric
Language_ay;Aymara
Language_az;Azerbeidzjaans
Language_ba;Bashkir
Language_be;Wit-Russisch
Language_bg;Bulgaars
Language_bh;Bihari
Language_bi;Bislama
Language_bm;Bambara
Language_bn;Bengali
Language_bo;Tibetaans
Language_br;Bretons
Language_bs;Bosnisch
Language_ca;Catalaans
Language_ce;Tsjetsjeens
Language_ch;Chamorro
Language_co;Corsicaans
Language_cr;Cree
Language_cs;Tsjechisch
Language_cu;Slave
Language_cv;Chuvash
Language_cy;Welsh
Language_da;Deens
Language_de;Duits
Language_dv;Divehi
Language_dz;Dzongkha
Language_ee;Ewe
Language_el;Grieks
Language_en;Engels
Language_en-gb;Engels (Groot-Brittannië)
Language_en-us;Engels (Verenigde Staten)
Language_eo;Esperanto
Language_es;Spaans
Language_es-419;
Language_et;Estisch
Language_eu;Baskisch
Language_fa;Perzisch
Language_ff;Fulah
Language_fi;Fins
Language_fj;Fijisch
Language_fo;Faeroërs
Language_fr;Frans
Language_fy;Fries
Language_ga;Iers
Language_gd;Gaelisch
Language_gl;Galicisch
Language_gn;Guarani
Language_gu;Gujarati
Language_gv;Manx
Language_ha;Hausa
Language_he;Hebreeuws
Language_hi;Hindi
Language_ho;Hiri Motu
Language_hr;Kroatisch
Language_ht;Haïtiaans
Language_hu;Hongaars
Language_hy;Armeens
Language_hy-az;
Language_hz;Herero
Language_ia;Interlingua
Language_id;Indonesisch
Language_ie;Interlingue
Language_ig;Igbo
Language_ii;Sichuan Yi
Language_ik;Inupiaq
Language_Info;Taalinfo
Language_io;Ido
Language_is;IJslands
Language_it;Italiaans
Language_iu;Inuktitut
Language_ja;Japans
Language_jv;Javaans
Language_ka;Georgisch
Language_kg;Congolees
Language_ki;Kikuyu
Language_kj;Kuanyama
Language_kk;Kazachs
Language_kl;Groenlands
Language_km;Khmer
Language_kn;Kannada
Language_ko;Koreaans
Language_kr;Kanuri
Language_ks;Kasjmiri
Language_ku;Koerdisch
Language_kv;Zurjeens
Language_kw;Cornish
Language_ky;Kirgizisch
Language_la;Latijn
Language_lb;Luxemburgs
Language_lg;Luganda
Language_li;Limburgs
Language_ln;Lingala
Language_lo;Laotiaans
Language_lt;Litouws
Language_lu;Luba-Katanga
Language_lv;Lets
Language_mg;Malagasy
Language_mh;Marshallees
Language_mi;Maori
Language_mk;Macedonisch
Language_ml;Malayalam
Language_mn;Mongools
Language_mn-cn;
Language_mo;Moldavisch
Language_More;Taal, meer info
Language_mr;Marathi
Language_ms;Maleis
Language_ms-bn;
Language_mt;Maltees
Language_mul;Meerdere talen
Language_my;Burmees
Language_na;Nauruaans
Language_nb;Noors Bokmal
Language_nd;Ndebele
Language_ne;Nepalees
Language_ng;Ndonga
Language_nl;Nederlands
Language_nl-be;
Language_nn;Noors Bokmal
Language_no;Noors
Language_nr;Ndebele
Language_nv;Navaho
Language_ny;Nyanja
Language_oc;Occitaans
Language_oj;Ojibwa
Language_om;Oromo
Language_or;Oriya
Language_os;Ossetisch
Language_pa;Punjabi
Language_pi;Pali
Language_pl;Pools
Language_ps;Pasjtoe
Language_pt;Portugees
Language_pt-br;Portugees (Brazilië)
Language_qu;Quechua
Language_rm;Reto-Romaans
Language_rn;Kirundi
Language_ro;Roemeens
Language_ru;Russisch
Language_rw;Kinyarwanda
Language_sa;Sanskriet
Language_sc;Sardijns
Language_sd;Sindhi
Language_se;Laps
Language_sg;Sango
Language_si;Sinhala
Language_sk;Slowaaks
Language_sl;Sloveens
Language_sm;Samoaans
Language_smi;
Language_sn;Shona
Language_so;Somalisch
Language_sq;Albanees
Language_sr;Servisch
Language_ss;Swazi
Language_st;Sotho
Language_su;Sundanees
Language_sv;Zweeds
Language_sw;Swahili
Language_ta;Tamil
Language_te;Telugu
Language_tg;Tadzjieks
Language_th;Thai
Language_ti;Tigrinya
Language_tk;Turkmeens
Language_tl;Tagalog
Language_tn;Tswana
Language_to;Tongaans
Language_tr;Turks
Language_ts;Tsonga
Language_tt;Tataars
Language_tw;Twi
Language_ty;Tahitiaans
Language_ug;Oejgoers
Language_uk;Oekraïens
Language_ur;Urdu
Language_uz;Oezbeeks
Language_ve;Venda
Language_vi;Vietnamees
Language_vo;Volapuk
Language_wa;Waals
Language_wo;Wolof
Language_xh;Xhosa
Language_yi;Jiddisch
Language_yo;Yoruba
Language_za;Zhuang
Language_zh;Chinees
Language_zh-cn;Chinees (China)
Language_zh-tw;Chinees (Taiwan)
Language_zu;Zoeloe
LawRating;Wettelijke rating
LCCN;LCCN
LfeAttenuationKnown;
LfeMixGain;
Library;Muxingbibliotheek
Lifetime_Subscribe_Button;
Lightness;Helderheid
Lines_Count;
Lines_MaxCountPerEvent;
LineUpStart;
LinkedTo_Bed_Pos;
LinkedTo_ChannelFormat_Pos;
LinkedTo_Content_Pos;
LinkedTo_Group_Pos;
LinkedTo_Object_Pos;
LinkedTo_PackFormat_Pos;
LinkedTo_SignalGroup_Pos;
LinkedTo_Substream_Pos;
LinkedTo_TrackFormat_Pos;
LinkedTo_TrackUID_Pos;
List;Lijst
LoRoCenterMixGain;
LoRoSurroundMixGain;
Loudness_Anchor;
Loudness_Anchor_Album;
Loudness_Count;
Loudness_Count_Album;
Loudness_MaximumMomentary;
Loudness_MaximumMomentary_Album;
Loudness_MaximumOfRange;
Loudness_MaximumOfRange_Album;
Loudness_MaximumShortTerm;
Loudness_MaximumShortTerm_Album;
Loudness_ProductionMixingLevel;
Loudness_ProductionMixingLevel_Album;
Loudness_Program;
Loudness_Program_Album;
Loudness_Range;
Loudness_Range_Album;
Loudness_RoomType;
Loudness_RoomType_Album;
LtRtCenterMixGain;
LtRtSurroundMixGain;
Lyricist;Tekstschrijver
Lyrics;Tekst
Mastered_Date;Datum van master
MasteredBy;Gemastered door
MasteringDisplay_ColorPrimaries;
MasteringDisplay_Luminance;
Matrix_Channel(s);
Matrix_ChannelPositions;
matrix_coefficients;
Matrix_Format;
MaxCLL;
MaxFALL;
MaxGain;
MaximumMomentaryLoudness;
MaxTruePeak;
MediaInfo_About;Levert zeer gedetailleerde informatie\r\nover multimediabestanden:\r\nMatroska, OGG (inclusief OGM)\r\nMPEG1 (inclusief VCD)\r\nMPEG2 (inclusief DVD en SVCD)\r\nMPEG4 (inclusief Itunes M4A)\r\nQuicktime\r\nRealMedia\r\nWindowsMedia (inclusief WMV, WMA)\r\nMicrosoft RIFF (inclusief AVI, WAV)\r\nGeluidsformaten (AC3, DTS, AAC, AU, AIFF...)
MediaInfo_About_About;
Menu;Menu
Menu stream(s);Menustromen
Menu_Codec_List;Menucodecs
Menu_Hint;Meer mogelijkheden
Menu_No;Geen menu
MenuCount;Telling van menustromen
MenuID;Menu-ID
Metadata_Format;
Metadata_Format_Type;
Metadata_MuxingMode;
MixType;
mn; min
Mood;Stemming
More;Meer
Movie;Filmnaam
ms; ms
MSDI;MSDI
MultipleStream;
MusicBy;Muziek door
MuxingMode;Muxingmodus
MuxingMode_MoreInfo;
MuxingMode_PackedBitstream;Packed bitstream
Name;Naam
Nationality;Nationaliteit
NetworkName;
New;Nieuw
Newest version;Controleer op nieuwe versies (vereist internetverbinding)
NewVersion_Menu;
NewVersion_Question_Content;
NewVersion_Question_Title;
No;Nee
Not yet;Nog niet
NumberOfChannelFormats;
NumberOfContents;
NumberOfDynamicObjects;
NumberOfElementaryStreams;
NumberOfObjects;
NumberOfPackFormats;
NumberOfPresentations;
NumberOfProgrammes;
NumberOfStreamFormats;
NumberOfSubstreams;
NumberOfTrackFormats;
NumberOfTrackUIDs;
NumColors;Aantal kleuren
ObjectCount;
OK;OK
One output file per input file;Eén exportbestand per invoerbestand
Open;Open
OpenCandy_01;Downloaden ________
OpenCandy_02;__% Voltooid
OpenCandy_03;Internetverbinding onderbroken
OpenCandy_04;________ download voltooid
OpenCandy_05;Klik om te installeren ________
OpenCandy_06;Wilt u de installatie afbreken?\r\nAls u de installatie tot later wilt uitstellen, kies 'Nee'.\r\nLet op: U kunt Afsluiten uit het menu kiezen om de installatie tot na de volgende herstart van de computer uit te stellen.
OpenCandy_07;Download van ________ is onderbroken.\r\nKlik op pictogram in het systeemvak om downloaden te hervatten.
OpenCandy_08;Kritische fout opgetreden. Installatie van _________ wordt afgebroken.
OpenCandy_09;Downloaden onderbreken
OpenCandy_10;Installatie afbreken
OpenCandy_11;Downloaden hervatten
OpenCandy_12;Installer afsluiten
OpenCandy_13;___________ - Aanbevolen door ____________
OpenCandy_14;Downloaden _________
OpenCandy_15;___________, de software die wordt aanbevolen door ___________, downloadt nu op uw verzoek. We zullen u laten weten wanneer het gereed is om te worden geïnstalleerd.
OpenCandy_16;___________ is gereed voor installatie
OpenCandy_17;___________ is nu volledig gedownload. Klik op 'Installeren' om door te gaan.
OpenCandy_18;___________ van ___________ gedownload
OpenCandy_19;Powered by OpenCandy
OpenCandy_20;Kom meer te weten op OpenCandy.com
OpenCandy_21;Installeren
OpenCandy_22;Installatie van ___________
OpenCandy_23;Dit zal de installatie van ___________ afbreken\r\nWeet u zeker dat u wilt afsluiten?
OpenCandy_24;Pauze
OpenCandy_25;Uw download is onderbroken. Klik 'Hervatten' wanneer u door wilt gaan.
OpenCandy_26;Hervatten
OpenCandy_27;Nu Installeren
OpenCandy_28;Download Onderbreken
OpenCandy_29;Download Hervatten
OpenCandy_30;Installatie Afbreken
OpenCandy_31;Kies een installatieoptie
OpenCandy_32;Installeer ___________
OpenCandy_33;Niet Installeren
OpenCandy_34;Kies een installatieoptie
OpenCandy_35;______ beveelt deze software aan
OpenCandy_36;Uw huidige installatie zal niet worden onderbroken
